SurveyID,Age,Gender,Type,Education,Income,Employed,FullPart,@1OwnCell,@2UsedCell,@3OwnHousePhone,@4UseFreq,BQ4a,BQ4aCont,@5UseLength,BQ5a,BQ5aCont,@6aTexting,@6bEmail,@6cInternet,@6dBank,@6eBills,@6fFacebook,@6gPics,@6hGames,@6iBuy,@7PurchOnline,BQ7a,BQ7aCont,@8CellExper,BQ8a,BQ8b,@9Comfort,BQ9a,@10Satisfaction,BQ10a,PA1,PA2,PA3,PA4,PA5,PA6,PA7,PBI1,PBI2,PBI3,PBI4,PBIUse,PBIBuy,PGL1,PGL2,PGL3,Comments,VAR00001
W278,58,2,1,2,2,2,,15,15,1,7,6,56,2,1,0.25,1,,1,,,,1,,1,1,0,0,5,4,3,6,1,5,1,2,2,2,5,5,5,4,6,3,6,6,6,4.5,7,6,6,,2
W291,58,2,1,2,5,1,1,15,15,1,7,6,56,3,2,0.75,1,1,,,,,1,,,1,0,0,5,4,3,2,-3,6,2,7,7,7,7,6,4,1,6,1,6,1,6,1,9,9,9,,2
W298,58,2,1,0,5,2,,15,15,1,7,6,56,2,1,0.25,1,,,,,,1,,,1,0,0,5,4,3,6,1,4,0,1,1,1,6,6,6,7,7,1,7,1,7,1,10,6,6,,4
W300,58,1,1,3,1,2,,8,8,1,7,6,56,2,1,0.25,1,,,,,,1,1,,6,5,23,4,3,2,7,2,5,1,3,1,2,5,5,4,5,6,2,6,3,6,2.5,7,6,7,,4
W307,58,2,1,3,5,2,,11,11,1,7,6,56,2,1,0.25,1,1,,,,,,,1,2,1,3,5,4,3,4,-1,3,-1,2,1,1,2,3,3,2,1,1,2,3,1.5,2,2,4,2,,3
S18,59,2,1,3,,2,,,,,,,,,,,,,,,,,,,,,,,,,,8,3,5,1,0,1,1,0,0,3,5,5,2,5,0,7,1.4,5,4,6,,3
S25,59,1,1,3,5,2,,15,15,1,7,6,56,3,2,0.75,,,,,,,,,,1,0,0,4,3,2,5,0,5,1,1,1,2,2,3,3,2,4,3,4,1,5.6,2.8,6,5,5,,3
W045,59,2,1,2,1,2,,15,15,1,7,6,56,4,3,1.25,1,,,,,1,1,,,1,0,0,6,5,4,6,1,4,0,3,3,2,5,4,2,1,7,1,6,1,6.5,1,8,6,6,,2
W058,59,2,2,2,2,1,2,20,20,1,7,6,56,4,3,1.25,1,,,,,,1,,,1,0,0,6,5,4,4,-1,4,0,1,5,3,4,3,2,2,7,1,7,3,7,2,10,7,10,,2
W092,59,2,4,3,1,2,,14,14,1,7,6,56,2,1,0.25,1,,,,,,,,,1,0,0,3,2,1,4,-1,3,-1,2,2,2,2,2,2,3,3,1,3,1,3,1,2,2,2,,3
W151,59,2,4,3,1,1,2,8,8,1,7,6,56,3,2,0.75,1,,,,,,1,,,1,0,0,5,4,3,6,1,4,0,1,1,1,5,3,3,6,6,4,6,4,6,4,6,6,6,,3
W234,59,2,3,4,1,1,2,10,11,1,7,6,56,3,2,0.75,1,,,,,,,,,1,0,0,5,4,3,3,-2,3,-1,1,1,1,6,7,3,5,7,1,6,1,6.5,1,7,8,7,,5
W287,59,2,1,2,1,2,,10,10,1,7,6,56,2,1,0.25,1,,,,,,1,,,1,0,0,5,4,3,6,1,3,-1,1,1,1,7,5,5,4,4,6,5,5,4.5,5.5,7,7,7,,2
S27,60,2,1,2,1,2,,3.5,3.5,,7,6,56,3,2,0.75,1,,,,,,,,,1,0,0,6,5,4,6,1,5,1,2,2,2,3,3,3,1,4,3,4,2,5.6,3.5,6,5,6,,2
S32,60,2,1,3,2,2,,5,5,1,5,4,12,3,2,0.75,1,,,,1,,,,,1,0,0,4,3,2,5,0,2,-2,2,2,2,1,1,1,1,4,1,4,1,5.6,1.4,6,6,6,,3
S34,60,1,1,3,2,1,1,30,30,1,7,6,56,3,2,0.75,,,,,,,,,,1,0,0,2,1,0,5,0,2,-2,1,1,1,4,1,1,2,4,2,4,1,5.6,2.1,9,9,9,,3
S41,60,2,1,1,,1,1,10,10,1,7,6,56,5,4,1.75,1,1,1,,,1,1,,,1,0,0,6,5,4,4,-1,5,1,2,2,2,2,2,2,1,5,3,3,2,5.6,3.5,5,5,5,,1
S51,60,1,1,4,5,2,1,20,20,1,7,6,56,3,2,0.75,1,1,1,,,1,1,,,1,0,0,5,4,3,5,0,3,-1,3,3,3,3,3,2,4,5,2,5,2,7,2.8,5,5,5,,4
W017,60,2,1,1,1,1,2,0,0,2,1,0,0,1,0,0,1,,,1,,,,1,,1,0,0,3,2,1,3,-2,2,-2,4,4,3,1,1,1,2,1,1,1,1,1,1,3,3,3,,1
W023,60,2,1,3,1,2,,10,10,1,7,6,56,2,1,0.25,1,,,,1,,,,,1,0,0,4,3,2,8,3,6,2,2,2,3,7,3,3,3,7,2,7,2,7,2,7,10,7,,3
